# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 27 07:16:16 2025
#
# User preference:
#
# CONSTRAINT:  where (tran_flag = 1
# CONSTRAINT:  and pl_orbperstr < 10
# CONSTRAINT:  and pl_radjstr > 0
# CONSTRAINT:  and pl_bmassjstr > 0.2
# CONSTRAINT:  and sy_vmagstr < 10)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,pl_trandur,pl_trandep,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
MASCARA-4 b,MASCARA-4,3.97,,2,1,Transit,2020,Multiple Observatories,1,0,2.82406,0.00003,-0.00003,0,0.047,0.004,-0.004,0,17.15,0.785,-0.448,0,1.53,0.07,-0.04,0,985.273,286.047,-286.047,0,3.1,0.9,-0.9,0,Mass,0,,,0,4913.69,,,0,2100,100,-100,0,0,A7 V,7800,200,-200,0,1.92,0.11,-0.11,0,1.75,0.05,-0.05,0,0,,,0,[Fe/H],4.1,0.05,-0.05,0,09h50m19.22s,147.5800667,-66d06m50.13s,-66.1139253,170.696,0.938,-0.928,8.191,0.002,-0.002,7.75,0.023,-0.023,8.17401,0.000379,-0.000379
MASCARA-1 b,MASCARA-1,4.226,,1,1,Transit,2017,Multiple Observatories,1,0,2.14877381,0.00000088,-0.00000087,0,0.040352,0.000046,-0.000049,0,17.901,0.202,-0.213,0,1.597,0.018,-0.019,0,1175.971,286.047,-286.047,0,3.7,0.9,-0.9,0,Mass,0.00034,0.00034,-0.00023,0,38711.5,,,0,2594,2,-2,0,0,,7845.75,44.25,-161.08,0,2.08,0.02,-0.02,0,1.9,0.06,-0.07,0,0.15,0.15,-0.15,0,[Fe/H],4.11,0.09,-0.06,0,21h10m12.37s,317.5515264,+10d44m20.03s,10.7388967,182.273,1.963,-1.922,8.28,0.03,-0.03,7.74,0.017,-0.017,8.24243,0.000327,-0.000327
HIP 94235 b,HIP 94235,2.47,,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),1,0,7.713057,0.000021,-0.000021,0,0.0787,0.00056,-0.00017,0,3,0.32,-0.28,0,0.268,0.029,-0.025,0,379,,,1,1.19247,,,1,Mass,0.32,0.2,-0.2,0,219.28,,,0,1060,50,-50,0,0,G V,5991,50,-50,0,1.08,0.11,-0.1,0,1.09,0.02,-0.01,0,0,,,0,[M/H],4.46,0.05,-0.05,0,19h10m57.87s,287.7411441,-60d16m21.49s,-60.2726358,58.5146,0.1263,-0.1258,8.31,0.03,-0.03,6.881,0.027,-0.027,8.16034,0.000476,-0.000476
HD 202772 A b,HD 202772 A,5.63,,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,0,3.308958,0.000083,-0.000083,0,0.05208,0.00064,-0.00068,0,17.318,0.583,-0.673,0,1.545,0.052,-0.06,0,323.23311,22.2481,-21.61244,0,1.017,0.07,-0.068,0,Mass,0.038,0.042,-0.027,0,3440,184,-191,0,2132,28,-30,0,0,,6272,77,-71,0,2.59,0.08,-0.09,0,1.72,0.06,-0.07,0,0.3,0.06,-0.06,0,[Fe/H],3.85,0.03,-0.03,0,21h18m47.90s,319.6995877,-26d36m58.95s,-26.6163743,161.498,2.459,-2.388,8.324,0.002,-0.002,6.959,0.024,-0.024,8.22688,0.000735,-0.000735
KELT-24 b,KELT-24,4.3032,,2,1,Transit,2019,KELT-North,1,0,5.55149296,0.0000005,-0.00000053,0,0.0665,0.0011,-0.0011,0,12.711,0.303,-0.291,0,1.134,0.027,-0.026,0,1458.83239,57.20911,-57.20911,0,4.59,0.18,-0.18,0,Mass,0.0319,0.0079,-0.0074,0,624,40,-40,0,1391,22,-23,0,0,F7,6426,93,-91,0,1.34,0.03,-0.03,0,1.27,0.06,-0.06,0,0.138,0.086,-0.082,0,[Fe/H],4.29,0.01,-0.01,0,10h47m38.17s,161.9090273,+71d39m20.62s,71.655727,96.5173,0.3132,-0.3113,8.34,0.03,-0.03,7.154,0.021,-0.021,8.23752,0.000357,-0.000357
KELT-7 b,KELT-7,3.511,,1,1,Transit,2015,KELT,1,0,2.73477,0.000004,-0.000004,0,0.04415,0.00062,-0.00052,0,17.934,0.673,-0.673,0,1.6,0.06,-0.06,0,441.7837,69.9226,-69.9226,0,1.39,0.22,-0.22,0,Mass,0,,,0,1793.88,,,0,2048,27,-27,0,0,F,6768,7,-7,0,1.73,0.04,-0.05,0,1.54,0.07,-0.05,0,0,,,0,[Fe/H],4.15,0.02,-0.02,0,05h13m10.94s,78.2955912,+33d19m04.63s,33.3179532,136.681,0.938,-0.924,8.56,0.03,-0.03,7.543,0.026,-0.026,8.45173,0.00042,-0.00042
KELT-2 A b,KELT-2 A,5.172,,2,1,Transit,2012,KELT,1,0,4.11379,0.00001,-0.00001,0,0.05497,0.00037,-0.00037,0,15.132,0.897,-0.897,0,1.35,0.08,-0.08,0,540.311,69.9226,-69.9226,0,1.7,0.22,-0.22,0,Mass,0,,,0,3108.45,,,0,2080,,,0,0,F8,6327,80,-80,0,1.93,0.1,-0.1,0,1.54,0.28,-0.28,0,0,,,0,[Fe/H],4.5,,,0,06h10m39.37s,92.6640226,+30d57m25.68s,30.9571333,134.058,0.802,-0.793,8.68,0.03,-0.03,7.346,0.031,-0.031,8.58393,0.000331,-0.000331
HAT-P-2 b,HAT-P-2,4.289,,1,2,Transit,2007,HATNet,1,0,5.6335158,0.0000036,-0.0000036,0,0.06814,0.00051,-0.00051,0,10.66,0.437,-0.594,0,0.951,0.039,-0.053,0,2866.81223,31.78284,-31.78284,0,9.02,0.1,-0.1,0,Mass,0.5172,0.0019,-0.0019,0,588.52,,,0,1540,30,-30,0,0,F8,6380,,,0,1.39,0.09,-0.09,0,1.33,0.03,-0.03,0,0.18,,,0,[Fe/H],4.16,0.02,-0.02,0,16h20m36.34s,245.1514324,+41d02m52.66s,41.0479601,127.774,0.425,-0.423,8.72,0.03,-0.03,7.603,0.02,-0.02,8.59842,0.00025,-0.00025
TOI-1518 b,TOI-1518,2.365,,1,1,Transit,2021,Multiple Observatories,1,0,1.902603,0.000011,-0.000011,0,0.0389,0.0011,-0.0011,0,21.017,0.594,-0.594,0,1.875,0.053,-0.053,0,731.00534,,,1,2.3,,,1,Mass,0.01,,,1,17123.01,,,0,2492,38,-38,0,0,F0,7300,100,-100,0,1.95,0.05,-0.05,0,1.79,0.26,-0.26,0,-0.1,0.12,-0.12,0,[Fe/H],4.1,0.2,-0.2,0,23h29m04.20s,352.2675207,+67d02m05.30s,67.0348062,225.888,1.69,-1.666,8.952,0.003,-0.003,8.325,0.021,-0.021,8.89529,0.000283,-0.000283
TOI-622 b,TOI-622,3.907,,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,0,6.402513,0.000031,-0.000054,0,0.0708,0.0052,-0.0059,0,9.236,0.314,-0.325,0,0.824,0.028,-0.029,0,96.30201,21.93016,-22.88365,0,0.303,0.069,-0.072,0,Mass,0.42,,,1,602,103,-118,0,1388,22,-22,0,0,F6 V,6400,100,-100,0,1.42,0.05,-0.05,0,1.31,0.08,-0.08,0,0.09,0.07,-0.07,0,[Fe/H],4.2,0.2,-0.2,0,08h21m13.21s,125.3050544,-46d29m03.47s,-46.4842959,123.297,0.471,-0.467,8.995,0.002,-0.002,7.858,0.023,-0.023,8.89103,0.00028,-0.00028
TOI-778 b,TOI-778,3.76,,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,0,4.633611,0.000001,-0.000001,0,0.06,0.003,-0.003,0,15.4,0.5,-0.5,0,1.37,0.04,-0.04,0,878,77,-72,0,2.8,0.2,-0.2,0,Mass,0.21,0.04,-0.04,0,734.67,,,0,1561,33,-32,0,0,F3 V,6643,150,-150,0,1.71,0.05,-0.05,0,1.4,0.05,-0.05,0,0,0.1,-0.1,0,[M/H],4.05,0.17,-0.17,0,13h17m20.12s,199.3338503,-15d16m25.34s,-15.2737046,161.743,1.123,-1.108,9.109,0.003,-0.003,8.055,0.033,-0.033,8.99436,0.000672,-0.000672
KELT-17 b,KELT-17,3.475,,1,1,Transit,2016,KELT,1,0,3.0801716,0.0000053,-0.0000052,0,0.04881,0.00065,-0.00061,0,17.094,0.729,-0.673,0,1.525,0.065,-0.06,0,416.3573,88.9924,-92.1707,0,1.31,0.28,-0.29,0,Mass,,,,,3331.87,,,0,2087,32,-33,0,0,A,7454,49,-49,0,1.65,0.06,-0.06,0,1.64,0.07,-0.06,0,-0.018,0.074,-0.072,0,[Fe/H],4.22,0.02,-0.02,0,08h22m28.18s,125.617407,+13d44m07.11s,13.7353093,226.5,2.506,-2.453,9.234,0.003,-0.003,8.646,0.018,-0.018,9.20887,0.000348,-0.000348
TOI-4603 b,TOI-4603,2.854,,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,0,7.24599,0.00022,-0.00021,0,0.0888,0.001,-0.001,0,11.68,0.426,-0.392,0,1.042,0.038,-0.035,0,4096.80817,184.34048,-181.16219,0,12.89,0.58,-0.57,0,Mass,0.325,0.02,-0.02,0,1192,71,-68,0,1677,24,-24,0,0,F,6264,95,-94,0,2.74,0.05,-0.05,0,1.77,0.06,-0.06,0,0.342,0.039,-0.04,0,[Fe/H],3.81,0.02,-0.02,0,05h35m27.82s,83.8659288,+21d17m39.27s,21.2942417,225.643,2.484,-2.432,9.24,0.03,-0.03,7.786,0.017,-0.017,9.07469,0.000241,-0.000241
TOI-1408 b,TOI-1408,1.65,,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),1,0,4.42587,0.00003,-0.00003,0,0.05778,0.0001,-0.0001,0,25,4,-4,0,2.23,0.357,-0.357,0,593,4,-4,0,1.86579,0.01259,-0.01259,0,Mass,0.0023,0.0005,-0.0005,0,271.9,,,0,1131,,,0,1,F8 V,6117,31,-31,0,1.53,0.02,-0.02,0,1.31,0.01,-0.01,0,0.25,0.06,-0.06,0,[Fe/H],4.1,0.06,-0.06,0,20h54m02.65s,313.5110469,+72d34m50.32s,72.5806455,139.484,0.418,-0.417,9.270001,0.003,-0.003,8.078,0.02,-0.02,9.18795,0.000223,-0.000223
WASP-18 b,WASP-18,2.21,,2,2,Transit,2009,SuperWASP,1,0,0.94145223,0.00000024,-0.00000024,0,0.02024,0.00029,-0.00031,0,13.899,0.886,-0.886,0,1.24,0.079,-0.079,0,3241.84975,111.23994,-111.23994,0,10.2,0.35,-0.35,0,Mass,0.0051,0.007,-0.0037,0,5805,808,-639,0,2429,77,-70,0,1,F6 IV-V,6432,48,-48,0,1.32,0.06,-0.06,0,1.29,0.06,-0.06,0,0.107,0.08,-0.08,0,[Fe/H],4.31,0.04,-0.03,0,01h37m25.07s,24.3544618,-45d40m40.06s,-45.6777937,123.483,0.371,-0.369,9.28,0.03,-0.03,8.131,0.027,-0.027,9.16617,0.000236,-0.000236
WASP-38 b,WASP-38,4.6608,,1,1,Transit,2010,SuperWASP,1,0,6.87188,0.00001,-0.00001,0,0.07522,0.00074,-0.00075,0,13.787,0.673,-0.673,0,1.23,0.06,-0.06,0,1093.3352,114.4188,-114.4188,0,3.44,0.36,-0.36,0,Mass,0.03,0,0,0,,,,,1250,,,0,0,F8 V,6180,50,-50,0,1.52,0.07,-0.07,0,1.76,0.28,-0.28,0,-0.02,,,0,[Fe/H],4.25,0.01,-0.01,0,16h15m50.33s,243.9597194,+10d01m56.68s,10.0324103,136.24,0.807,-0.798,9.391,0.003,-0.003,7.998,0.04,-0.04,9.20974,0.000232,-0.000232
TOI-1333 b,TOI-1333,4.642,,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,0,4.720219,0.000011,-0.000011,0,0.0626,0.0011,-0.0012,0,15.648,0.628,-0.605,0,1.396,0.056,-0.054,0,753.2571,76.2792,-76.2792,0,2.37,0.24,-0.24,0,Mass,0.073,0.092,-0.052,0,1112.85,,,0,1679,35,-34,0,0,,6274,97,-97,0,1.93,0.06,-0.06,0,1.46,0.08,-0.08,0,0.119,0.078,-0.077,0,[Fe/H],4.03,0.03,-0.03,0,21h40m03.49s,325.0145363,+48d24m24.36s,48.4067674,200.492,1.202,-1.188,9.438,0.003,-0.003,8.272,0.024,-0.024,9.35039,0.000213,-0.000213
HAT-P-70 b,HAT-P-70,3.48,,1,1,Transit,2019,HATNet,1,0,2.74432452,0.00000079,-0.00000068,0,0.04739,0.00031,-0.00106,0,20.961,1.681,-1.121,0,1.87,0.15,-0.1,0,2154.8874,,,0,6.78,,,0,Mass,0,,,0,5405.6,,,0,2562,43,-52,0,0,,8450,540,-690,0,1.86,0.12,-0.09,0,1.89,0.01,-0.01,0,-0.059,0.075,-0.088,0,[Fe/H],4.18,0.06,-0.06,0,04h58m12.56s,74.5523332,+09d59m52.73s,9.9979794,330.739,6.818,-6.552,9.47,0.004,-0.004,8.963,0.024,-0.024,9.45174,0.000266,-0.000266
WASP-99 b,WASP-99,5.407,,1,1,Transit,2014,SuperWASP,1,0,5.75251,0.00004,-0.00004,0,0.0717,0.0016,-0.0016,0,11.433,0.673,-0.673,0,1.02,0.06,-0.06,0,772.3269,117.5971,-117.5971,0,2.43,0.37,-0.37,0,Mass,0,,,0,828.83,,,0,1480,40,-40,0,0,F8,6150,100,-100,0,1.64,0.09,-0.09,0,1.21,0.28,-0.28,0,0.21,,,0,[Fe/H],4.3,0.1,-0.1,0,02h39m35.44s,39.8976689,-50d00m29.50s,-50.0081934,158.66,0.809,-0.8,9.475,0.003,-0.003,8.088,0.024,-0.024,9.3251,0.000154,-0.000154
WASP-7 b,WASP-7,3.639,,1,1,Transit,2008,SuperWASP,1,0,4.9546416,0.0000035,-0.0000035,0,0.0617,0.0011,-0.0011,0,14.908,1.042,-1.042,0,1.33,0.093,-0.093,0,305.1168,41.3179,-41.3179,0,0.96,0.13,-0.13,0,Mass,0.034,0.045,-0.024,0,612.69,,,0,1487,48,-48,0,0,,6400,100,-100,0,1.43,0.09,-0.09,0,1.28,0.07,-0.07,0,0,0.1,-0.1,0,[Fe/H],4.23,0.05,-0.05,0,20h44m10.26s,311.0427558,-39d13m31.75s,-39.2254856,162.303,1.296,-1.276,9.504,0.003,-0.003,8.396,0.023,-0.023,9.37671,0.000191,-0.000191
WASP-76 b,WASP-76,3.8,,2,1,Transit,2016,SuperWASP,1,0,1.80988198,0.00000064,-0.00000056,0,0.033,0.0002,-0.0002,0,20.781,0.863,-0.852,0,1.854,0.077,-0.076,0,284.1386,4.4496,-4.13177,0,0.894,0.014,-0.013,0,Mass,0,,,0,4104,896,-896,0,2228,122,-122,0,0,F7,6329,65,-65,0,1.76,0.07,-0.07,0,1.46,0.02,-0.02,0,0.366,0.053,-0.053,0,[Fe/H],4.2,0.11,-0.11,0,01h46m31.90s,26.632936,+02d42m01.40s,2.700389,194.459,6.206,-5.839,9.518,0.004,-0.004,8.243,0.031,-0.031,9.39507,0.000556,-0.000556
HD 2685 b,HD 2685,4.405,,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1,0,4.12688,0.00005,-0.00004,0,0.0568,0.0006,-0.0006,0,16.141,0.56,-0.56,0,1.44,0.05,-0.05,0,371.8611,38.1396,-38.1396,0,1.17,0.12,-0.12,0,Mass,0.091,0.039,-0.047,0,1436.49,,,0,2061,28,-28,0,0,,6801,76,-76,0,1.56,0.05,-0.05,0,1.43,0.05,-0.04,0,0.02,0.06,-0.06,0,[Fe/H],4.21,0.03,-0.03,0,00h29m18.94s,7.3289156,-76d18m14.52s,-76.304032,196.852,0.777,-0.771,9.595,0.003,-0.003,8.595,0.019,-0.019,9.52025,0.000318,-0.000318
TOI-1789 b,TOI-1789,2.3,,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,0,3.208664,0.000015,-0.000015,0,0.04882,0.00063,-0.0016,0,16.141,2.69,-1.569,0,1.44,0.24,-0.14,0,222.47988,50.85255,-50.85255,0,0.7,0.16,-0.16,0,Mass,,,,,2300,130,-81,0,1927,27,-17,0,0,F,5991,55,-55,0,2.17,0.04,-0.03,0,1.51,0.06,-0.14,0,0.373,0.071,-0.086,0,[Fe/H],3.94,0.02,-0.04,0,09h30m58.42s,142.743406,+26d32m23.98s,26.5399951,229.067,2.388,-2.34,9.721,0.004,-0.004,8.345,0.018,-0.018,9.58439,0.000298,-0.000298
HAT-P-60 b,HAT-P-60,5.035,,1,1,Transit,2021,HATNet,1,0,4.7947813,0.0000024,-0.0000024,0,0.06277,0.00017,-0.00017,0,18.282,0.269,-0.269,0,1.631,0.024,-0.024,0,182.43351,12.07748,-12.07748,0,0.574,0.038,-0.038,0,Mass,0.25,,,1,1634,45,-45,0,1772,12,-12,0,0,,6212,26,-26,0,2.2,0.03,-0.02,0,1.44,0.01,-0.01,0,0.037,0.037,-0.037,0,[Fe/H],3.91,0.01,-0.01,0,01h53m07.82s,28.2825719,+52d03m14.12s,52.0539209,233.22,2.687,-2.627,9.727,0.004,-0.004,8.368,0.031,-0.031,9.56355,0.000337,-0.000337
WASP-14 b,WASP-14,3.06,,3,1,Transit,2008,SuperWASP,1,0,2.24375,0.00001,-0.00001,0,0.037,0.001,-0.001,0,15.468,0.897,-0.897,0,1.38,0.08,-0.08,0,2809.6172,444.962,-444.962,0,8.84,1.4,-1.4,0,Mass,0.09,0,0,0,1356.33,,,0,1872,29,-29,0,0,,6475,100,-100,0,1.4,0.08,-0.08,0,1.62,0.39,-0.39,0,0,,,0,[Fe/H],4.07,0.2,-0.2,0,14h33m06.39s,218.2766247,+21d53m40.87s,21.8946875,161.997,0.81,-0.802,9.745,0.004,-0.004,8.621,0.019,-0.019,9.64647,0.000345,-0.000345
WASP-74 b,WASP-74,1.879,,1,1,Transit,2015,SuperWASP,1,0,2.13775,0.000001,-0.000001,0,0.03443,0.00036,-0.00036,0,15.244,1.121,-1.121,0,1.36,0.1,-0.1,0,228.8376,38.1396,-38.1396,0,0.72,0.12,-0.12,0,Mass,0,,,0,531.16,,,0,1926,21,-21,0,0,F9,5990,110,-110,0,1.42,0.1,-0.1,0,0.98,0.24,-0.24,0,0.39,,,0,[Fe/H],4.39,0.07,-0.07,0,20h18m09.32s,304.538843,-01d04m33.61s,-1.0760033,149.216,1.149,-1.132,9.75,0.005,-0.005,8.221,0.023,-0.023,9.5723,0.000251,-0.000251
HAT-P-22 b,HAT-P-22,2.87,,2,1,Transit,2010,HATNet,1,0,3.21222,0.000009,-0.000009,0,0.0414,0.0005,-0.0005,0,12.89,2.13,-2.13,0,1.15,0.19,-0.19,0,785.0401,101.7056,-101.7056,0,2.47,0.32,-0.32,0,Mass,0.02,0.01,-0.01,0,325.57,,,0,1463,19,-19,0,0,G5 V,5302,80,-80,0,1.11,0.05,-0.05,0,1.13,0.22,-0.22,0,0.24,,,0,[Fe/H],4.36,0.04,-0.04,0,10h22m43.55s,155.6814593,+50d07m43.36s,50.1287115,81.7647,0.2505,-0.2489,9.763,0.004,-0.004,7.837,0.021,-0.021,9.51936,0.000234,-0.000234
HAT-P-69 b,HAT-P-69,5.126,,1,1,Transit,2019,HATNet,1,0,4.7869491,0.0000018,-0.0000021,0,0.06555,0.0007,-0.00035,0,18.786,0.572,-0.37,0,1.676,0.051,-0.033,0,1137.8314,184.3414,-184.3414,0,3.58,0.58,-0.58,0,Mass,0,,,0,2320.18,,,0,1930,80,-230,0,0,,7394,360,-600,0,1.93,0.06,-0.03,0,1.65,0.06,-0.03,0,-0.069,0.058,-0.075,0,[Fe/H],4.11,0.03,-0.06,0,08h42m01.35s,130.5056385,+03d42m38.04s,3.7105662,341.263,5.116,-4.969,9.774,0.005,-0.005,9.28,0.023,-0.023,9.77332,0.000336,-0.000336
WASP-8 b,WASP-8,4.397,,2,2,Transit,2010,SuperWASP,1,0,8.15872,0.000015,-0.000015,0,0.0801,0.0015,-0.0015,0,12.666,0.56,-0.56,0,1.13,0.05,-0.05,0,807.2882,104.8839,-104.8839,0,2.54,0.33,-0.33,0,Mass,0.31,0,0,0,209.12,,,0,1059,,,0,0,G8 V,5600,80,-80,0,1.03,0.04,-0.04,0,1.34,0.26,-0.26,0,0.17,,,0,[Fe/H],4.5,0.1,-0.1,0,23h59m36.21s,359.9008737,-35d01m52.81s,-35.0313349,89.9606,0.3648,-0.3618,9.789,0.003,-0.003,8.086,0.023,-0.023,9.61249,0.000415,-0.000415
HIP 67522 b,HIP 67522,4.85,,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,0,6.9594731,0.0000022,-0.0000022,0,0.0748,0.0016,-0.0018,0,9.987,0.235,-0.224,0,0.891,0.021,-0.02,0,71.4,,,0,0.225,,,0,M-R relationship,0.064,0.187,-0.049,0,341.09,,,0,1175,13,-12,0,1,G1 V,5675,75,-75,0,1.38,0.06,-0.06,0,1.22,0.05,-0.05,0,0,,,0,,4.44,,,0,13h50m06.24s,207.526001,-40d50m09.23s,-40.8358961,127.28,1.105,-1.087,9.79,0.03,-0.03,8.164,0.026,-0.026,9.63261,0.002283,-0.002283
